"Path","Category","Status","SizeKB","LastWrite","Notes"
"environment\__pycache__","Cache","CACHE","116.19","9/1/2026 9:38:43 PM","Automatically generated software cache; not research evidence."
"environment\__pycache__\__init__.cpython-313.pyc","Cache","CACHE","0.19","8/29/2026 8:48:35 PM","Automatically generated Python bytecode."
"environment\__pycache__\bess.cpython-313.pyc","Cache","CACHE","16.23","9/1/2026 8:27:44 PM","Automatically generated Python bytecode."
"environment\__pycache__\constraints.cpython-313.pyc","Cache","CACHE","10.54","8/29/2026 8:59:12 PM","Automatically generated Python bytecode."
"environment\__pycache__\energy_sharing.cpython-313.pyc","Cache","CACHE","19.07","8/29/2026 9:03:24 PM","Automatically generated Python bytecode."
"environment\__pycache__\ev_fleet.cpython-313.pyc","Cache","CACHE","15.69","8/29/2026 8:56:45 PM","Automatically generated Python bytecode."
"environment\__pycache__\market.cpython-313.pyc","Cache","CACHE","11.29","9/1/2026 8:27:44 PM","Automatically generated Python bytecode."
"environment\__pycache__\microgrid.cpython-313.pyc","Cache","CACHE","13.12","9/1/2026 9:38:43 PM","Automatically generated Python bytecode."
"environment\__pycache__\pv.cpython-313.pyc","Cache","CACHE","9.54","8/29/2026 8:53:50 PM","Automatically generated Python bytecode."
"environment\__pycache__\vpp_env.cpython-313.pyc","Cache","CACHE","20.53","9/1/2026 8:49:57 PM","Automatically generated Python bytecode."
"evaluation\__pycache__","Cache","CACHE","39.67","9/1/2026 7:39:09 PM","Automatically generated software cache; not research evidence."
"evaluation\__pycache__\__init__.cpython-313.pyc","Cache","CACHE","0.19","8/30/2026 2:48:15 AM","Automatically generated Python bytecode."
"evaluation\__pycache__\economic_metrics.cpython-313.pyc","Cache","CACHE","12.31","9/1/2026 7:39:09 PM","Automatically generated Python bytecode."
"evaluation\__pycache__\operational_metrics.cpython-313.pyc","Cache","CACHE","15.07","9/1/2026 7:37:39 PM","Automatically generated Python bytecode."
"evaluation\__pycache__\training_history_logger.cpython-313.pyc","Cache","CACHE","12.1","8/30/2026 2:48:15 AM","Automatically generated Python bytecode."
"forecasting\__pycache__","Cache","CACHE","151.28","8/29/2026 9:44:21 PM","Automatically generated software cache; not research evidence."
"forecasting\__pycache__\__init__.cpython-313.pyc","Cache","CACHE","0.19","8/29/2026 9:17:54 PM","Automatically generated Python bytecode."
"forecasting\__pycache__\confidence.cpython-313.pyc","Cache","CACHE","18.9","8/29/2026 9:44:21 PM","Automatically generated Python bytecode."
"forecasting\__pycache__\dataset.cpython-313.pyc","Cache","CACHE","18.23","8/29/2026 9:20:46 PM","Automatically generated Python bytecode."
"forecasting\__pycache__\model.cpython-313.pyc","Cache","CACHE","20.02","8/29/2026 9:29:00 PM","Automatically generated Python bytecode."
"forecasting\__pycache__\predictor.cpython-313.pyc","Cache","CACHE","23.2","8/29/2026 9:37:21 PM","Automatically generated Python bytecode."
"forecasting\__pycache__\preprocessing.cpython-313.pyc","Cache","CACHE","21.48","8/29/2026 9:17:54 PM","Automatically generated Python bytecode."
"forecasting\__pycache__\trainer.cpython-313.pyc","Cache","CACHE","25.62","8/29/2026 9:33:23 PM","Automatically generated Python bytecode."
"forecasting\__pycache__\uncertainty.cpython-313.pyc","Cache","CACHE","23.66","8/29/2026 9:40:40 PM","Automatically generated Python bytecode."
"marl\__pycache__","Cache","CACHE","147","9/3/2026 6:27:50 PM","Automatically generated software cache; not research evidence."
"marl\__pycache__\__init__.cpython-313.pyc","Cache","CACHE","0.18","8/29/2026 9:49:53 PM","Automatically generated Python bytecode."
"marl\__pycache__\action_mapper.cpython-313.pyc","Cache","CACHE","18.01","9/1/2026 8:27:44 PM","Automatically generated Python bytecode."
"marl\__pycache__\environment_adapter.cpython-313.pyc","Cache","CACHE","15.83","8/29/2026 10:28:54 PM","Automatically generated Python bytecode."
"marl\__pycache__\hierarchical_controller.cpython-313.pyc","Cache","CACHE","19.83","8/29/2026 9:55:50 PM","Automatically generated Python bytecode."
"marl\__pycache__\rewards.cpython-313.pyc","Cache","CACHE","16.77","8/29/2026 9:52:35 PM","Automatically generated Python bytecode."
"marl\__pycache__\state_builder.cpython-313.pyc","Cache","CACHE","21.03","8/29/2026 9:49:53 PM","Automatically generated Python bytecode."
"marl\__pycache__\training_loop.cpython-313.pyc","Cache","CACHE","32.42","9/1/2026 3:34:47 AM","Automatically generated Python bytecode."
"marl\__pycache__\vpp_training_bridge.cpython-313.pyc","Cache","CACHE","22.94","9/3/2026 6:27:50 PM","Automatically generated Python bytecode."
"risk\__pycache__","Cache","CACHE","12.18","9/1/2026 7:41:26 PM","Automatically generated software cache; not research evidence."
"risk\__pycache__\cvar.cpython-313.pyc","Cache","CACHE","5.79","9/1/2026 7:40:27 PM","Automatically generated Python bytecode."
"risk\__pycache__\risk_penalty.cpython-313.pyc","Cache","CACHE","6.39","9/1/2026 7:41:26 PM","Automatically generated Python bytecode."
"tests\__pycache__","Cache","CACHE","1300.67","9/3/2026 6:27:21 PM","Automatically generated software cache; not research evidence."
"tests\__pycache__\test_action_mapper.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","13.11","8/30/2026 2:02:31 AM","Automatically generated Python bytecode."
"tests\__pycache__\test_bess.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","13.58","8/29/2026 8:48:35 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_confidence.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","39.57","8/29/2026 9:44:21 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_coordinator.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","71.15","8/29/2026 10:19:23 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_dataset.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","45.88","8/29/2026 9:20:46 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_energy_sharing.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","50.83","8/29/2026 9:03:24 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_environment.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","32.46","8/29/2026 9:08:25 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_environment_adapter.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","40.04","8/29/2026 10:28:54 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_ev.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","46","8/29/2026 8:56:45 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_hierarchical_controller.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","43.62","8/29/2026 9:55:50 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_local_agent.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","73.19","8/29/2026 10:11:43 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_market.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","42.94","8/29/2026 9:05:36 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_model.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","36.08","8/29/2026 9:28:58 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_networks.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","52.66","8/29/2026 9:59:00 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_power_balance.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","41.06","8/29/2026 8:59:12 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_predictor.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","50.07","8/29/2026 9:37:20 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_preprocessing.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","48.61","8/29/2026 9:17:53 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_pv.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","35.11","8/29/2026 8:53:50 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_real_vpp_training_bridge.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","42.74","9/3/2026 6:27:21 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_replay_buffer.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","56.44","8/29/2026 10:02:00 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_reserve_feasibility.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","14.73","9/1/2026 8:27:44 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_rewards.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","47.41","8/29/2026 9:52:35 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_sac_agent.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","78.53","8/29/2026 10:06:30 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_state_builder.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","43.01","8/29/2026 9:49:53 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_trainer.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","53.12","8/29/2026 9:33:22 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_training_loop.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","54.26","8/29/2026 10:25:28 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_transformer_grid_feasibility.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","19.73","9/1/2026 9:38:42 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_uncertainty.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","48.68","8/29/2026 9:40:40 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_vpp_env.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","35.62","8/29/2026 9:13:04 PM","Automatically generated Python bytecode."
"tests\__pycache__\test_vpp_training_bridge.cpython-313-pytest-8.4.2.pyc","Cache","CACHE","30.45","8/30/2026 2:23:39 AM","Automatically generated Python bytecode."
"outputs\results\real_fc_hmarl_final_v3_benchmark","Benchmark","FINAL","1073.24","9/4/2026 3:02:36 AM","Final benchmark evaluation under locked TEST conditions."
"outputs\results\real_fc_hmarl_final_v3_ablation","Diagnostic Ablation","FINAL","1494.49","9/4/2026 3:24:55 AM","Post-training inference-time diagnostic ablation results."
"evaluate_final_v3_ablation_locked200.py","Final Script","FINAL","23.33","9/4/2026 3:04:32 AM","Official diagnostic ablation evaluator."
"evaluate_final_v3_benchmark_locked200.py","Final Script","FINAL","26.46","9/4/2026 2:59:06 AM","Official final benchmark evaluator."
"evaluate_final_v3_test_locked200.py","Final Script","FINAL","38.5","9/4/2026 2:41:57 AM","Official locked TEST evaluator."
"train_real_fc_hmarl_final_v3.py","Final Script","FINAL","55.13","9/3/2026 6:34:20 PM","Official final V3 training launcher."
"outputs\results\real_fc_hmarl_final_v3_test\publication_figures\Figure_Benchmark_Mean_Return.pdf","Final TEST Figure","FINAL","17.79","9/4/2026 3:32:24 AM","Generated under the final locked TEST result branch."
"outputs\results\real_fc_hmarl_final_v3_test\publication_figures\Figure_Benchmark_Mean_Return.png","Final TEST Figure","FINAL","120.78","9/4/2026 3:32:23 AM","Generated under the final locked TEST result branch."
"outputs\results\real_fc_hmarl_final_v3_test\publication_figures\Figure_Benchmark_Net_Market_Cost.pdf","Final TEST Figure","FINAL","20.01","9/4/2026 3:32:24 AM","Generated under the final locked TEST result branch."
"outputs\results\real_fc_hmarl_final_v3_test\publication_figures\Figure_Benchmark_Net_Market_Cost.png","Final TEST Figure","FINAL","147.54","9/4/2026 3:32:24 AM","Generated under the final locked TEST result branch."
"outputs\results\real_fc_hmarl_final_v3_test\publication_figures\Figure_Benchmark_Operational_Normalized.pdf","Final TEST Figure","FINAL","18.83","9/4/2026 3:32:24 AM","Generated under the final locked TEST result branch."
"outputs\results\real_fc_hmarl_final_v3_test\publication_figures\Figure_Benchmark_Operational_Normalized.png","Final TEST Figure","FINAL","144.61","9/4/2026 3:32:24 AM","Generated under the final locked TEST result branch."
"outputs\results\real_fc_hmarl_final_v3_test\publication_figures\Figure_Diagnostic_Ablation.pdf","Final TEST Figure","FINAL","18.13","9/4/2026 3:32:24 AM","Generated under the final locked TEST result branch."
"outputs\results\real_fc_hmarl_final_v3_test\publication_figures\Figure_Diagnostic_Ablation.png","Final TEST Figure","FINAL","166.87","9/4/2026 3:32:24 AM","Generated under the final locked TEST result branch."
"outputs\results\real_fc_hmarl_final_v3_test\publication_figures\Figure_Final_TEST_Grid_Interaction.png","Final TEST Figure","FINAL","189.63","9/4/2026 2:51:07 AM","Generated under the final locked TEST result branch."
"outputs\results\real_fc_hmarl_final_v3_test\publication_figures\Figure_Final_TEST_Net_Market_Cost.png","Final TEST Figure","FINAL","230.84","9/4/2026 2:51:07 AM","Generated under the final locked TEST result branch."
"outputs\results\real_fc_hmarl_final_v3_test\publication_figures\Figure_Final_TEST_Resource_Utilization.png","Final TEST Figure","FINAL","132.86","9/4/2026 2:51:07 AM","Generated under the final locked TEST result branch."
"outputs\results\real_fc_hmarl_final_v3_test\publication_figures\Figure_Final_TEST_Return_Distribution.png","Final TEST Figure","FINAL","89.71","9/4/2026 2:51:07 AM","Generated under the final locked TEST result branch."
"outputs\results\real_fc_hmarl_final_v3","Final V3 Training","FINAL","1946.68","9/3/2026 11:31:40 PM","Official final V3 training results."
"outputs\results\real_fc_hmarl_final_v3_validation","Final Validation","FINAL","39.9","9/4/2026 12:27:24 AM","Official validation-only checkpoint-selection results."
"outputs\results\real_fc_hmarl_final_v3_test","Locked TEST","FINAL","1888.41","9/4/2026 2:51:04 AM","Official locked TEST evaluation using frozen checkpoint 200."
"outputs\results\real_fc_hmarl_final_v3_ablation\final_v3_ablation_episode_results.csv","Publication Table","FINAL","1491.82","9/4/2026 3:24:55 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_ablation\final_v3_ablation_paired_comparisons.csv","Publication Table","FINAL","0.42","9/4/2026 3:24:55 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_ablation\final_v3_ablation_summary.csv","Publication Table","FINAL","1.33","9/4/2026 3:24:55 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_benchmark\final_v3_benchmark_episode_results.csv","Publication Table","FINAL","1070.07","9/4/2026 3:02:36 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_benchmark\final_v3_benchmark_summary.csv","Publication Table","FINAL","1.92","9/4/2026 3:02:36 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Economic_Operational_Performance.csv","Publication Table","FINAL","1.7","9/4/2026 2:49:42 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Economic_Operational_Performance.md","Publication Table","FINAL","2.81","9/4/2026 2:49:42 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Economic_Operational_Performance.txt","Publication Table","FINAL","2.66","9/4/2026 2:49:42 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Final_Benchmark_Comparison.csv","Publication Table","FINAL","0.64","9/4/2026 3:30:11 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Final_Benchmark_Comparison.md","Publication Table","FINAL","1.66","9/4/2026 3:30:11 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Final_Benchmark_Comparison.txt","Publication Table","FINAL","1.25","9/4/2026 3:30:11 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Final_Benchmark_Improvements.csv","Publication Table","FINAL","0.24","9/4/2026 3:30:11 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Final_Benchmark_Improvements.md","Publication Table","FINAL","0.58","9/4/2026 3:30:11 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Final_Benchmark_Improvements.txt","Publication Table","FINAL","0.46","9/4/2026 3:30:11 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Final_Diagnostic_Ablation.csv","Publication Table","FINAL","0.77","9/4/2026 3:30:11 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Final_Diagnostic_Ablation.md","Publication Table","FINAL","2.12","9/4/2026 3:30:11 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Final_Diagnostic_Ablation.txt","Publication Table","FINAL","1.64","9/4/2026 3:30:11 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Final_FC_HMARL_Performance.csv","Publication Table","FINAL","0.87","9/4/2026 2:47:01 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Final_FC_HMARL_Performance.md","Publication Table","FINAL","1.5","9/4/2026 2:47:01 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_Final_FC_HMARL_Performance.txt","Publication Table","FINAL","0.99","9/4/2026 2:47:01 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_MG_Coordinator_Performance.csv","Publication Table","FINAL","0.66","9/4/2026 2:48:19 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_MG_Coordinator_Performance.md","Publication Table","FINAL","1.06","9/4/2026 2:48:19 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\results\real_fc_hmarl_final_v3_test\publication_tables\Table_MG_Coordinator_Performance.txt","Publication Table","FINAL","0.9","9/4/2026 2:48:19 AM","Derived from final V3 TEST, benchmark, or diagnostic evaluation output."
"outputs\rl_data\real_rl_test_archive.npz","RL Data","FINAL","1267.17","9/4/2026 2:22:45 AM","TEST archive reserved for locked final evaluation."
"outputs\rl_data\real_rl_training_archive.npz","RL Data","FINAL","6033.57","9/1/2026 2:45:06 AM","TRAIN archive used for policy learning."
"outputs\rl_data\real_rl_validation_archive.npz","RL Data","FINAL","1314.43","9/4/2026 12:15:18 AM","VALIDATION archive used for checkpoint selection."
"audit_step7r_physical_dispatch.py","Development History","HISTORICAL","15.85","9/1/2026 8:16:53 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"audit_step7r_reserve_source.py","Development History","HISTORICAL","4.78","9/1/2026 8:19:01 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"diagnose_step7r_g_episode87.py","Development History","HISTORICAL","13.54","9/1/2026 8:44:10 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"diagnose_step7r_h_mg3_step1.py","Development History","HISTORICAL","11.13","9/1/2026 8:46:03 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"evaluate_fc_hmarl_ablation_fixed.py","Development History","HISTORICAL","22.51","9/1/2026 7:44:04 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"evaluate_fc_hmarl_ablation_v2.py","Development History","HISTORICAL","22.55","9/1/2026 7:46:34 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"evaluate_final_v3_validation_FIXED.py","Development History","HISTORICAL","26.38","9/4/2026 12:19:42 AM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"evaluate_final_v3_validation_FIXED_V2.py","Development History","HISTORICAL","27.16","9/4/2026 12:21:36 AM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"evaluate_step7n_operational_economic.py","Development History","HISTORICAL","11.97","9/1/2026 7:55:50 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"evaluate_step7o_baseline_comparison.py","Development History","HISTORICAL","18.56","9/1/2026 8:00:21 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"evaluate_step7o_rule_based_comparison.py","Development History","HISTORICAL","15.4","9/1/2026 8:03:11 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"evaluate_step7p_risk_robustness.py","Development History","HISTORICAL","10.46","9/1/2026 8:05:42 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"generate_step7q_publication_figures.py","Development History","HISTORICAL","5.75","9/1/2026 8:08:16 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"generate_step7q_representative_dispatch.py","Development History","HISTORICAL","19.07","9/1/2026 8:12:07 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"inspect_step7n_physical_info.py","Development History","HISTORICAL","2.87","9/1/2026 7:53:51 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"train_real_fc_hmarl_reserve_corrected.py","Development History","HISTORICAL","50.78","9/1/2026 8:33:19 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"train_real_fc_hmarl_reserve_corrected_v2.py","Development History","HISTORICAL","51.87","9/1/2026 8:34:48 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"validate_step7r_corrected_reserve.py","Development History","HISTORICAL","15.78","9/1/2026 8:29:05 PM","Retain as development evidence; do not use as the official final V3 evaluation unless separately verified."
"data\raw\load\15minute_data_california\15minute_data_california.csv","Large Artifact","LARGE","135936.35","8/4/2026 6:37:59 AM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"data\raw\price\price_pjm.zip","Large Artifact","LARGE","161037.3","8/30/2026 11:46:52 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_3500.replay.npz","Large Artifact","LARGE","51457.08","9/1/2026 5:49:28 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_3600.replay.npz","Large Artifact","LARGE","52932.51","9/1/2026 5:54:53 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_3700.replay.npz","Large Artifact","LARGE","54387.75","9/1/2026 6:00:26 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_3800.replay.npz","Large Artifact","LARGE","55870.41","9/1/2026 6:05:45 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_3900.replay.npz","Large Artifact","LARGE","57329.81","9/1/2026 6:11:03 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_4000.replay.npz","Large Artifact","LARGE","58818.81","9/1/2026 6:16:17 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_4100.replay.npz","Large Artifact","LARGE","60299.71","9/1/2026 6:21:36 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_4200.replay.npz","Large Artifact","LARGE","61766","9/1/2026 6:26:57 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_4300.replay.npz","Large Artifact","LARGE","63239.09","9/1/2026 6:32:20 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_4400.replay.npz","Large Artifact","LARGE","64711.59","9/1/2026 6:37:56 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_4500.replay.npz","Large Artifact","LARGE","66180.45","9/1/2026 6:43:12 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_4600.replay.npz","Large Artifact","LARGE","67653.49","9/1/2026 6:48:25 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_4700.replay.npz","Large Artifact","LARGE","69117.59","9/1/2026 6:53:36 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_4800.replay.npz","Large Artifact","LARGE","70587.85","9/1/2026 6:58:51 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
"outputs\checkpoints\real_fc_hmarl\coordinator_episode_4900.replay.npz","Large Artifact","LARGE","72049.3","9/1/2026 7:04:20 PM","File is at least 50 MB. Retain if needed for reproducibility; review upload size before submission."
